job_id,work_item_id,job_kind,status,group,name,base_version,base_config_sha256,code_ref,config_snapshot_ref,seed,changed_parameters,config_fingerprint,repeat_of,duplicate_resolution,purpose,run_id,run_start_receipt_ref,run_start_receipt_sha256,run_command_sha256,run_log_sha256,run_exit_code,U,S,H,ZS,best_epoch,decision,artifact_ref,artifact_manifest_sha256
RUN-001,V5-ABLATION-005,ablation,frozen,MPP-OFF,MPP-OFF seed=5 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-001.yaml,5,"{""lambda_mpp"":0.0}",8cc395aa42617aa9264e659d4e44a13e674f3deec1762bf56d6ed000df479b2e,,unique_config,验证 MPP 系数贡献,,,,,,,,,,,,,,
RUN-002,V5-ABLATION-005,ablation,frozen,MPP-OFF,MPP-OFF seed=5 repeat=2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-002.yaml,5,"{""lambda_mpp"":0.0}",8cc395aa42617aa9264e659d4e44a13e674f3deec1762bf56d6ed000df479b2e,RUN-001,exact_repeat,验证 MPP 系数贡献,,,,,,,,,,,,,,
RUN-003,V5-ABLATION-005,ablation,frozen,MPP-OFF,MPP-OFF seed=17 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-003.yaml,17,"{""lambda_mpp"":0.0}",fd3ceb6b8df52a3258848f1f3e929525a15f8f5c22751f766b3997bff942504b,,unique_config,验证 MPP 系数贡献,,,,,,,,,,,,,,
RUN-004,V5-ABLATION-005,ablation,frozen,MPP-OFF,MPP-OFF seed=17 repeat=2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-004.yaml,17,"{""lambda_mpp"":0.0}",fd3ceb6b8df52a3258848f1f3e929525a15f8f5c22751f766b3997bff942504b,RUN-003,exact_repeat,验证 MPP 系数贡献,,,,,,,,,,,,,,
RUN-005,V5-ABLATION-005,ablation,frozen,NEG-OFF,NEG-OFF seed=5 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-005.yaml,5,"{""lambda_neg"":0.0}",858a46adfd81e9fc0ccde16980e904f0de7ab5f500457e54950f1324e08788b8,,unique_config,验证 NEG 系数贡献,,,,,,,,,,,,,,
RUN-006,V5-ABLATION-005,ablation,frozen,NEG-OFF,NEG-OFF seed=5 repeat=2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-006.yaml,5,"{""lambda_neg"":0.0}",858a46adfd81e9fc0ccde16980e904f0de7ab5f500457e54950f1324e08788b8,RUN-005,exact_repeat,验证 NEG 系数贡献,,,,,,,,,,,,,,
RUN-007,V5-ABLATION-005,ablation,frozen,NEG-OFF,NEG-OFF seed=17 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-007.yaml,17,"{""lambda_neg"":0.0}",98fae4745dcb9f12742a5e9d30b6834d2fa71d8c2ec36d83b34ae0d7967e614c,,unique_config,验证 NEG 系数贡献,,,,,,,,,,,,,,
RUN-008,V5-ABLATION-005,ablation,frozen,NEG-OFF,NEG-OFF seed=17 repeat=2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-008.yaml,17,"{""lambda_neg"":0.0}",98fae4745dcb9f12742a5e9d30b6834d2fa71d8c2ec36d83b34ae0d7967e614c,RUN-007,exact_repeat,验证 NEG 系数贡献,,,,,,,,,,,,,,
RUN-009,V5-ABLATION-005,ablation,frozen,SGMP-ALL-OFF,SGMP-ALL-OFF seed=5 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-009.yaml,5,"{""lambda_mpp"":0.0,""lambda_neg"":0.0}",42a2742e8bd74244c77fb3ead349c254f28b8279f850d60d7e567688052c5fcf,,unique_config,验证两个 SGMP 辅助系数共同贡献,,,,,,,,,,,,,,
RUN-010,V5-ABLATION-005,ablation,frozen,SGMP-ALL-OFF,SGMP-ALL-OFF seed=5 repeat=2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-010.yaml,5,"{""lambda_mpp"":0.0,""lambda_neg"":0.0}",42a2742e8bd74244c77fb3ead349c254f28b8279f850d60d7e567688052c5fcf,RUN-009,exact_repeat,验证两个 SGMP 辅助系数共同贡献,,,,,,,,,,,,,,
RUN-011,V5-ABLATION-005,ablation,frozen,SGMP-ALL-OFF,SGMP-ALL-OFF seed=17 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-011.yaml,17,"{""lambda_mpp"":0.0,""lambda_neg"":0.0}",1ee0e949fa21cbf12bf744426a509b5707b5ca77081dcbe36814265fccabd37b,,unique_config,验证两个 SGMP 辅助系数共同贡献,,,,,,,,,,,,,,
