job_id,work_item_id,job_kind,status,group,name,base_version,base_config_sha256,code_ref,config_snapshot_ref,seed,changed_parameters,config_fingerprint,repeat_of,duplicate_resolution,purpose,run_id,run_start_receipt_ref,run_start_receipt_sha256,run_command_sha256,run_log_sha256,run_exit_code,U,S,H,ZS,best_epoch,decision,artifact_ref,artifact_manifest_sha256
RUN-001,V5-ABLATION-006,ablation,frozen,CE-ONLY,CE-ONLY seed=5 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-001.yaml,5,"{""lambda_consist"":0,""lambda_topo_pearson"":0,""lambda_bmdd"":0,""lambda_mpp"":0,""lambda_neg"":0}",f4f3d365d711a854634f92314d6ebff455ae36ab97404e66866dda720a028570,,unique_config,只保留 CE 主损失,,,,,,,,,,,,,,
RUN-002,V5-ABLATION-006,ablation,frozen,CE-ONLY,CE-ONLY seed=5 repeat=2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-002.yaml,5,"{""lambda_consist"":0,""lambda_topo_pearson"":0,""lambda_bmdd"":0,""lambda_mpp"":0,""lambda_neg"":0}",f4f3d365d711a854634f92314d6ebff455ae36ab97404e66866dda720a028570,RUN-001,exact_repeat,只保留 CE 主损失,,,,,,,,,,,,,,
RUN-003,V5-ABLATION-006,ablation,frozen,CE-ONLY,CE-ONLY seed=17 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-003.yaml,17,"{""lambda_consist"":0,""lambda_topo_pearson"":0,""lambda_bmdd"":0,""lambda_mpp"":0,""lambda_neg"":0}",f49cb24e44a3221dd49c6d89ada9677a1cd61977d2b192c8e92822efa5ea0023,,unique_config,只保留 CE 主损失,,,,,,,,,,,,,,
RUN-004,V5-ABLATION-006,ablation,frozen,CE-ONLY,CE-ONLY seed=17 repeat=2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-004.yaml,17,"{""lambda_consist"":0,""lambda_topo_pearson"":0,""lambda_bmdd"":0,""lambda_mpp"":0,""lambda_neg"":0}",f49cb24e44a3221dd49c6d89ada9677a1cd61977d2b192c8e92822efa5ea0023,RUN-003,exact_repeat,只保留 CE 主损失,,,,,,,,,,,,,,
RUN-005,V5-ABLATION-006,ablation,frozen,BMDD-OFF,BMDD-OFF seed=5 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-005.yaml,5,"{""lambda_bmdd"":0}",b86a04b74f4b011b27e3876e41556fc0f152b629356cbc6d439a6f825d4883e1,,unique_config,验证 BMDD 辅助损失贡献,,,,,,,,,,,,,,
RUN-006,V5-ABLATION-006,ablation,frozen,BMDD-OFF,BMDD-OFF seed=5 repeat=2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-006.yaml,5,"{""lambda_bmdd"":0}",b86a04b74f4b011b27e3876e41556fc0f152b629356cbc6d439a6f825d4883e1,RUN-005,exact_repeat,验证 BMDD 辅助损失贡献,,,,,,,,,,,,,,
RUN-007,V5-ABLATION-006,ablation,frozen,BMDD-OFF,BMDD-OFF seed=17 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-007.yaml,17,"{""lambda_bmdd"":0}",91f66b94a6a8a8ca979a6b5597e07d776a146f317b52f2a6745173bbaa78798b,,unique_config,验证 BMDD 辅助损失贡献,,,,,,,,,,,,,,
RUN-008,V5-ABLATION-006,ablation,frozen,BMDD-OFF,BMDD-OFF seed=17 repeat=2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-008.yaml,17,"{""lambda_bmdd"":0}",91f66b94a6a8a8ca979a6b5597e07d776a146f317b52f2a6745173bbaa78798b,RUN-007,exact_repeat,验证 BMDD 辅助损失贡献,,,,,,,,,,,,,,
RUN-009,V5-ABLATION-006,ablation,frozen,CONSIST-OFF,CONSIST-OFF seed=5 repeat=1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-009.yaml,5,"{""lambda_consist"":0}",799d426bfca8a1a1ee02336149506c1bb284cd61971a59b2856f49860d397864,,unique_config,验证一致性损失贡献,,,,,,,,,,,,,,
RUN-010,V5-ABLATION-006,ablation,frozen,CONSIST-OFF,CONSIST-OFF seed=5 repeat=2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,2f5fa5e631ef82658d4bac587cdfd17f3534cb35,configs/RUN-010.yaml,5,"{""lambda_consist"":0}",799d426bfca8a1a1ee02336149506c1bb284cd61971a59b2856f49860d397864,RUN-009,exact_repeat,验证一致性损失贡献,,,,,,,,,,,,,,
