"job_id","work_item_id","job_kind","status","group","name","base_version","base_config_sha256","code_ref","config_snapshot_ref","seed","changed_parameters","config_fingerprint","repeat_of","duplicate_resolution","purpose","run_id","run_start_receipt_ref","run_start_receipt_sha256","run_command_sha256","run_log_sha256","run_exit_code","U","S","H","ZS","best_epoch","decision","artifact_ref","artifact_manifest_sha256"
"RUN-001","V5-INNOVATION-002","innovation","completed","stage1","legacy seed 5 repeat 1","v5","def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e","model/v5-template-v1","configs/RUN-001.yaml","5","{""fusion_beta"":0.05,""fusion_mode"":""legacy""}","fee497fecdeb199c23679af254e58c7b6a5bd8a884fa7935ff5a1bb5f7e6e13d","","unique_config","比较 legacy 与 scale_consistent 的同 seed 配对结果","RUN-001","","","","46b7c8de9558c366b945d7276da350798b1443d74fed31cbf0dbd1d6f3ee91b9","0","72.19575643539429","76.2011170387268","74.14438265496587","81.24353289604187","36","legacy_reference",".runtime/runs/v5/innovation/V5-INNOVATION-002_scale_consistent_fusion/RUN-001/metrics.json",""
"RUN-002","V5-INNOVATION-002","innovation","completed","stage1","scale-consistent seed 5 repeat 1","v5","def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e","model/v5-template-v1","configs/RUN-002.yaml","5","{""fusion_beta"":0.05,""fusion_mode"":""scale_consistent""}","09393d99b37a6e0ca611c960c08693ee2cac5d753561416e0045e318cb822281","","unique_config","比较 legacy 与 scale_consistent 的同 seed 配对结果","RUN-002","","","","01aa86390eb0a2b6a6aa5a368696e8c8305fb4e6613db0b1e99e83d2008a7b34","0","64.62149024009705","78.66111993789673","70.95346445779093","81.11051917076111","24","reject_scale_consistent_beta_0_05",".runtime/runs/v5/innovation/V5-INNOVATION-002_scale_consistent_fusion/RUN-002/metrics.json",""
"RUN-003","V5-INNOVATION-002","innovation","completed","stage1","legacy seed 5 repeat 2","v5","def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e","model/v5-template-v1","configs/RUN-003.yaml","5","{""fusion_beta"":0.05,""fusion_mode"":""legacy""}","fee497fecdeb199c23679af254e58c7b6a5bd8a884fa7935ff5a1bb5f7e6e13d","RUN-001","exact_repeat","比较 legacy 与 scale_consistent 的同 seed 配对结果","RUN-003","","","","a752889bccd70e5f723f2c14bfb1855053777d037e9211c5f96c82e78f1cfffc","0","72.2668468952179","76.24410390853882","74.2022181394866","81.31462335586548","36","legacy_reference",".runtime/runs/v5/innovation/V5-INNOVATION-002_scale_consistent_fusion/RUN-003/metrics.json",""
"RUN-004","V5-INNOVATION-002","innovation","completed","stage1","scale-consistent seed 5 repeat 2","v5","def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e","model/v5-template-v1","configs/RUN-004.yaml","5","{""fusion_beta"":0.05,""fusion_mode"":""scale_consistent""}","09393d99b37a6e0ca611c960c08693ee2cac5d753561416e0045e318cb822281","RUN-002","exact_repeat","比较 legacy 与 scale_consistent 的同 seed 配对结果","RUN-004","","","","9fea59af5085d2879323d96fb8370a285285fe3f38fa03ee2b64b9cfa81be693","0","65.6937837600708","77.91569828987122","71.28466674908928","81.2190294265747","25","reject_scale_consistent_beta_0_05",".runtime/runs/v5/innovation/V5-INNOVATION-002_scale_consistent_fusion/RUN-004/metrics.json",""
"RUN-005","V5-INNOVATION-002","innovation","completed","stage1","legacy seed 5 repeat 3","v5","def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e","model/v5-template-v1","configs/RUN-005.yaml","5","{""fusion_beta"":0.05,""fusion_mode"":""legacy""}","fee497fecdeb199c23679af254e58c7b6a5bd8a884fa7935ff5a1bb5f7e6e13d","RUN-001","exact_repeat","比较 legacy 与 scale_consistent 的同 seed 配对结果","RUN-005","","","","5bbf11134c76ac41bac3ab4c25f2fa109663bad0a32b21aa4229f790672b4a43","0","72.67022132873535","75.46863555908203","74.04299674877775","81.25234246253967","31","legacy_reference",".runtime/runs/v5/innovation/V5-INNOVATION-002_scale_consistent_fusion/RUN-005/metrics.json",""
"RUN-006","V5-INNOVATION-002","innovation","completed","stage1","scale-consistent seed 5 repeat 3","v5","def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e","model/v5-template-v1","configs/RUN-006.yaml","5","{""fusion_beta"":0.05,""fusion_mode"":""scale_consistent""}","09393d99b37a6e0ca611c960c08693ee2cac5d753561416e0045e318cb822281","RUN-002","exact_repeat","比较 legacy 与 scale_consistent 的同 seed 配对结果","RUN-006","","","","f5c86594330e112bf0619130e02790a75a6e2277e51a0d54554756aff8ce11c9","0","65.51402807235718","77.64369249343872","71.06499083042776","80.30341267585754","23","reject_scale_consistent_beta_0_05",".runtime/runs/v5/innovation/V5-INNOVATION-002_scale_consistent_fusion/RUN-006/metrics.json",""
"RUN-007","V5-INNOVATION-002","innovation","skipped","stage2","legacy seed 17","v5","def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e","model/v5-template-v1","configs/RUN-007.yaml","17","{""fusion_beta"":0.05,""fusion_mode"":""legacy""}","45c0c8e80758857cf05550ed201fa9facd252a26553e1c4b7c0d42fa3d951687","","unique_config","在 stage1 通过后检查跨 seed 稳健性","","","","","","","","","","","","stage1_gate_failed_not_started","",""
"RUN-008","V5-INNOVATION-002","innovation","skipped","stage2","scale-consistent seed 17","v5","def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e","model/v5-template-v1","configs/RUN-008.yaml","17","{""fusion_beta"":0.05,""fusion_mode"":""scale_consistent""}","786ebcd60827c3e8d7ef7022b82e38ad5f55d3d7112b537b0edc4f27a0b63db7","","unique_config","在 stage1 通过后检查跨 seed 稳健性","","","","","","","","","","","","stage1_gate_failed_not_started","",""
"RUN-009","V5-INNOVATION-002","innovation","skipped","stage2","legacy seed 29","v5","def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e","model/v5-template-v1","configs/RUN-009.yaml","29","{""fusion_beta"":0.05,""fusion_mode"":""legacy""}","386f30c9ba3f306428a0d6d39b5954b691a9ce3d11fb4933baa17fa5bbcce002","","unique_config","在 stage1 通过后检查跨 seed 稳健性","","","","","","","","","","","","stage1_gate_failed_not_started","",""
"RUN-010","V5-INNOVATION-002","innovation","skipped","stage2","scale-consistent seed 29","v5","def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e","model/v5-template-v1","configs/RUN-010.yaml","29","{""fusion_beta"":0.05,""fusion_mode"":""scale_consistent""}","8cac0525844c39e425bd630760d7219f04f62bc13e6b4674464da41ef97ec00b","","unique_config","在 stage1 通过后检查跨 seed 稳健性","","","","","","","","","","","","stage1_gate_failed_not_started","",""
