job_id,work_item_id,job_kind,status,group,name,base_version,base_config_sha256,code_ref,config_snapshot_ref,seed,changed_parameters,config_fingerprint,repeat_of,duplicate_resolution,purpose,run_id,run_start_receipt_ref,run_start_receipt_sha256,run_command_sha256,run_log_sha256,run_exit_code,U,S,H,ZS,best_epoch,decision,artifact_ref,artifact_manifest_sha256
RUN-001,V5-TUNE-002,tune,frozen,LW-005,LW-005-seed-5-repeat-1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,3af9bfa8247b7aa6bc4ba4b5aa6c69f35277cd28,configs/RUN-001.yaml,5,"{""local_weight"":0.05}",259d4ed3394673a26e69512f917cffe15b3e3d6c86999a0f30e0776e5ad15e51,,唯一配置,局部融合权重筛查；非 confirmation 证据,,,,,,,,,,,,,,
RUN-002,V5-TUNE-002,tune,frozen,LW-005,LW-005-seed-5-repeat-2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,3af9bfa8247b7aa6bc4ba4b5aa6c69f35277cd28,configs/RUN-002.yaml,5,"{""local_weight"":0.05}",259d4ed3394673a26e69512f917cffe15b3e3d6c86999a0f30e0776e5ad15e51,RUN-001,与 RUN-001 相同，已明确标为复跑,局部融合权重筛查；非 confirmation 证据,,,,,,,,,,,,,,
RUN-003,V5-TUNE-002,tune,frozen,LW-005,LW-005-seed-17-repeat-1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,3af9bfa8247b7aa6bc4ba4b5aa6c69f35277cd28,configs/RUN-003.yaml,17,"{""local_weight"":0.05}",40f9f9506676ffdec271656addfb9f1176c927957d759b2f6427ae9504c2688c,,唯一配置,局部融合权重筛查；非 confirmation 证据,,,,,,,,,,,,,,
RUN-004,V5-TUNE-002,tune,frozen,LW-005,LW-005-seed-17-repeat-2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,3af9bfa8247b7aa6bc4ba4b5aa6c69f35277cd28,configs/RUN-004.yaml,17,"{""local_weight"":0.05}",40f9f9506676ffdec271656addfb9f1176c927957d759b2f6427ae9504c2688c,RUN-003,与 RUN-003 相同，已明确标为复跑,局部融合权重筛查；非 confirmation 证据,,,,,,,,,,,,,,
RUN-005,V5-TUNE-002,tune,frozen,LW-010,LW-010-seed-5-repeat-1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,3af9bfa8247b7aa6bc4ba4b5aa6c69f35277cd28,configs/RUN-005.yaml,5,"{""local_weight"":0.1}",5e2e3a8b31ca665e3af3d7c414048567ce45ce26c623b4ef92c3a75f66408ea7,,唯一配置,局部融合权重筛查；非 confirmation 证据,,,,,,,,,,,,,,
RUN-006,V5-TUNE-002,tune,frozen,LW-010,LW-010-seed-5-repeat-2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,3af9bfa8247b7aa6bc4ba4b5aa6c69f35277cd28,configs/RUN-006.yaml,5,"{""local_weight"":0.1}",5e2e3a8b31ca665e3af3d7c414048567ce45ce26c623b4ef92c3a75f66408ea7,RUN-005,与 RUN-005 相同，已明确标为复跑,局部融合权重筛查；非 confirmation 证据,,,,,,,,,,,,,,
RUN-007,V5-TUNE-002,tune,frozen,LW-010,LW-010-seed-17-repeat-1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,3af9bfa8247b7aa6bc4ba4b5aa6c69f35277cd28,configs/RUN-007.yaml,17,"{""local_weight"":0.1}",38645cee88ec2a8c9e85899f91942391add62385704892a128712efc224a8399,,唯一配置,局部融合权重筛查；非 confirmation 证据,,,,,,,,,,,,,,
RUN-008,V5-TUNE-002,tune,frozen,LW-010,LW-010-seed-17-repeat-2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,3af9bfa8247b7aa6bc4ba4b5aa6c69f35277cd28,configs/RUN-008.yaml,17,"{""local_weight"":0.1}",38645cee88ec2a8c9e85899f91942391add62385704892a128712efc224a8399,RUN-007,与 RUN-007 相同，已明确标为复跑,局部融合权重筛查；非 confirmation 证据,,,,,,,,,,,,,,
RUN-009,V5-TUNE-002,tune,frozen,LW-030,LW-030-seed-5-repeat-1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,3af9bfa8247b7aa6bc4ba4b5aa6c69f35277cd28,configs/RUN-009.yaml,5,"{""local_weight"":0.3}",b16c123319cb90ce89c10fb507619e5a2c7351536a4f9200b4e29d29ae2f66fe,,唯一配置,局部融合权重筛查；非 confirmation 证据,,,,,,,,,,,,,,
RUN-010,V5-TUNE-002,tune,frozen,LW-030,LW-030-seed-5-repeat-2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,3af9bfa8247b7aa6bc4ba4b5aa6c69f35277cd28,configs/RUN-010.yaml,5,"{""local_weight"":0.3}",b16c123319cb90ce89c10fb507619e5a2c7351536a4f9200b4e29d29ae2f66fe,RUN-009,与 RUN-009 相同，已明确标为复跑,局部融合权重筛查；非 confirmation 证据,,,,,,,,,,,,,,
RUN-011,V5-TUNE-002,tune,frozen,LW-030,LW-030-seed-17-repeat-1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,3af9bfa8247b7aa6bc4ba4b5aa6c69f35277cd28,configs/RUN-011.yaml,17,"{""local_weight"":0.3}",f59c537a0e7901a2c23a7d2fb2ebe843d101b5d9734a954ec53c4d974997b6ee,,唯一配置,局部融合权重筛查；非 confirmation 证据,,,,,,,,,,,,,,
RUN-012,V5-TUNE-002,tune,frozen,LW-030,LW-030-seed-17-repeat-2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,3af9bfa8247b7aa6bc4ba4b5aa6c69f35277cd28,configs/RUN-012.yaml,17,"{""local_weight"":0.3}",f59c537a0e7901a2c23a7d2fb2ebe843d101b5d9734a954ec53c4d974997b6ee,RUN-011,与 RUN-011 相同，已明确标为复跑,局部融合权重筛查；非 confirmation 证据,,,,,,,,,,,,,,
RUN-013,V5-TUNE-002,tune,frozen,LW-040,LW-040-seed-5-repeat-1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,3af9bfa8247b7aa6bc4ba4b5aa6c69f35277cd28,configs/RUN-013.yaml,5,"{""local_weight"":0.4}",65f885de66297552386f72b7aaa802fb4605457c9f35067b59b75f1c23372a4d,,唯一配置,局部融合权重筛查；非 confirmation 证据,,,,,,,,,,,,,,
RUN-014,V5-TUNE-002,tune,frozen,LW-040,LW-040-seed-5-repeat-2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,3af9bfa8247b7aa6bc4ba4b5aa6c69f35277cd28,configs/RUN-014.yaml,5,"{""local_weight"":0.4}",65f885de66297552386f72b7aaa802fb4605457c9f35067b59b75f1c23372a4d,RUN-013,与 RUN-013 相同，已明确标为复跑,局部融合权重筛查；非 confirmation 证据,,,,,,,,,,,,,,
RUN-015,V5-TUNE-002,tune,frozen,LW-040,LW-040-seed-17-repeat-1,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,3af9bfa8247b7aa6bc4ba4b5aa6c69f35277cd28,configs/RUN-015.yaml,17,"{""local_weight"":0.4}",ba635aa66c01c73836383034bc1607e7dc58b76159cffc17634c8347256c604b,,唯一配置,局部融合权重筛查；非 confirmation 证据,,,,,,,,,,,,,,
RUN-016,V5-TUNE-002,tune,frozen,LW-040,LW-040-seed-17-repeat-2,v5,def1d44cdee7ed4add7797637baf36b5715fc351068e0c154ac7f634cf2b7b9e,3af9bfa8247b7aa6bc4ba4b5aa6c69f35277cd28,configs/RUN-016.yaml,17,"{""local_weight"":0.4}",ba635aa66c01c73836383034bc1607e7dc58b76159cffc17634c8347256c604b,RUN-015,与 RUN-015 相同，已明确标为复跑,局部融合权重筛查；非 confirmation 证据,,,,,,,,,,,,,,
